"tail.number","treatment","microbiome.sample","tumor.volume","days.from.injection","unique.mouse.id","experiment","cage"
"1","Anti-PD1","HONC60-55 v3",13.122,6,"1_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"1","Anti-PD1","HONC60-55 v3",41.876,8,"1_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"1","Anti-PD1","HONC60-55 v3",202.3425,12,"1_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"1","Anti-PD1","HONC60-55 v3",247.572,15,"1_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"1","Anti-PD1","HONC60-55 v3",367.84,18,"1_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"1","Anti-PD1","HONC60-55 v3",440.896,21,"1_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"1","Anti-PD1","HONC60-55 v4",27.3325,6,"1_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"1","Anti-PD1","HONC60-55 v4",5.9565,8,"1_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"1","Anti-PD1","HONC60-55 v4",31.0365,12,"1_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"1","Anti-PD1","HONC60-55 v4",71.1865,15,"1_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"1","Anti-PD1","HONC60-55 v4",0,18,"1_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"1","Anti-PD1","HONC60-55 v4",0,21,"1_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"2","Anti-PD1","HONC60-55 v3",25.047,6,"2_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"2","Anti-PD1","HONC60-55 v3",74.925,8,"2_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"2","Anti-PD1","HONC60-55 v3",55.6875,12,"2_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"2","Anti-PD1","HONC60-55 v3",5.6,15,"2_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"2","Anti-PD1","HONC60-55 v3",4,18,"2_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"2","Anti-PD1","HONC60-55 v3",0,21,"2_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"2","Anti-PD1","HONC60-55 v4",3.078,6,"2_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"2","Anti-PD1","HONC60-55 v4",15.309,8,"2_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"2","Anti-PD1","HONC60-55 v4",0,12,"2_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"2","Anti-PD1","HONC60-55 v4",21.964,15,"2_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"2","Anti-PD1","HONC60-55 v4",103.518,18,"2_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"2","Anti-PD1","HONC60-55 v4",165.528,21,"2_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"3","Anti-PD1","HONC60-55 v3",13.8765,6,"3_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"3","Anti-PD1","HONC60-55 v3",2.376,8,"3_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"3","Anti-PD1","HONC60-55 v3",94.8395,12,"3_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"3","Anti-PD1","HONC60-55 v3",34.344,15,"3_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"3","Anti-PD1","HONC60-55 v3",0,18,"3_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"3","Anti-PD1","HONC60-55 v3",0,21,"3_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"3","Anti-PD1","HONC60-55 v4",30.634,6,"3_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"3","Anti-PD1","HONC60-55 v4",47.628,8,"3_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"3","Anti-PD1","HONC60-55 v4",133.16,12,"3_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"3","Anti-PD1","HONC60-55 v4",62.9565,15,"3_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"3","Anti-PD1","HONC60-55 v4",98.3125,18,"3_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"3","Anti-PD1","HONC60-55 v4",45.387,21,"3_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"4","IgG","HONC60-55 v3",43.218,6,"4_IgG_HONC-60-55.v3","mimic1",NA
"4","IgG","HONC60-55 v3",31.2375,8,"4_IgG_HONC-60-55.v3","mimic1",NA
"4","IgG","HONC60-55 v3",269.5,12,"4_IgG_HONC-60-55.v3","mimic1",NA
